#name,airport,city,country,description,type,latitude,longitude
The Ritz-Carlton Almaty,ALA,,KZ,Ritz-Carlton,Luxury hotel,,
Wildflower Farms,ALB,,US,Auberge Resorts,Luxury hotel,,
Canyon Ranch Lenox,ALB,,US,,Luxury hotel,,
VIVOOD Landscape Hotel & Spa,ALC,Alicante,ES,,Luxury hotel,,
ITC Narmada,AMD,,IN,Luxury Collection Hotels,Luxury hotel,,
Petra,AMM,,JO,Explore the ancient Nabataean city with high-end hotels and private guided tours.,Adventure Tourism,,
Four Seasons AMMAN,AMM,,JO,Four Seasons,Luxury hotel,,
The Ritz-Carlton Amman,AMM,,JO,Ritz-Carlton,Luxury hotel,,
The St. Regis Amman,AMM,,JO,St. Regis,Luxury hotel,,
Dutch GP,AMS,,NL,Formula One race held at the CM.com Circuit Zandvoort,Elite Destination,52.38882,4.54092
Amsterdam,AMS,,NL,,Elite residential,,
Oud-Zuid,AMS,,NL,,Elite residential,,
Waldorf Astoria Amsterdam,AMS,Amsterdam,NL,,Luxury hotel,,
Andaz Amsterdam Prinsengracht,AMS,Amsterdam,NL,,Luxury hotel,,
Sofitel Legend The Grand Amsterdam,AMS,Amsterdam,NL,,Luxury hotel,52.3702,4.8952
The Dylan Amsterdam,AMS,,NL,,Luxury hotel,,
Denali National Park,ANC,,US,,Adventure Tourism,,
St. John's,ANU,,AG,,Elite residential,,
Jumby Bay Island,ANU,,AG,Oetker Collection Hotels,Luxury hotel,,
Wadi Rum Desert,AQJ,,JO,Experience the beauty of the desert with luxurious glamping experiences and private stargazing sessions.,Adventure Tourism,,
Al Manara,AQJ,,JO,Luxury Collection Hotels,Luxury hotel,,
Las Casitas,AQP,,PE,,Luxury hotel,,
Belmond Las Casitas,AQP,Arequipa,PE,,Luxury hotel,,
Serengeti National Park,ARK,,TZ,,Adventure Tourism,,
Östermalm,ARN,,SE,,Elite residential,,
Strand Stockholm,ARN,Stockholm,SE,Radisson Collection Hotel,Luxury hotel,59.3308868,18.0768661
Hotel Diplomat,ARN,,SE,,Luxury hotel,,
Grand Hôtel Stockholm,ARN,,SE,,Luxury hotel,,
Hotel Reisen,ARN,,SE,,Luxury hotel,,
At Six,ARN,,SE,,Luxury hotel,,
Ashgabat,ASB,,TM,,Elite residential,,
The Aspen Institute,ASE,,US,Nonprofit organization promoting leadership and social impact through conferences and initiatives attended by affluent individuals and philanthropists.,Elite Destination,,
Kachina Village,ASE,,US,,Elite residential,,
Hotel Jerome,ASE,,US,Auberge Resorts,Luxury hotel,,
The St. Regis Aspen Resort,ASE,,US,St. Regis,Luxury hotel,,
Amboseli National Park,ASV,,KE,,Adventure Tourism,,
Sofitel Legend Old Cataract Aswan,ASW,Aswan,EG,,Luxury hotel,24.0889,32.8992
Kolonaki,ATH,,GR,,Elite residential,,
Kolonaki,ATH,,GR,,Elite residential,,
Amanzoe,ATH,,GR,Aman resorts,Luxury hotel,,
Four Seasons ATHENS (ASTIR PALACE),ATH,,GR,Four Seasons,Luxury hotel,,
Hotel Grande Bretagne,ATH,,GR,Luxury Collection Hotels,Luxury hotel,,
King George,ATH,,GR,Luxury Collection Hotels,Luxury hotel,,
Rosewood Kranidi,ATH,,GR,Rosewood Hotel,Luxury hotel,,
Grand Resort Lagonissi,ATH,,GR,,Luxury hotel,,
Buckhead,ATL,Atlanta,US,,Elite residential,,
Four Seasons ATLANTA,ATL,Atlanta,US,Four Seasons,Luxury hotel,,
JW Marriott Atlanta Buckhead,ATL,Atlanta,US,JW Marriott,Luxury hotel,,
Stonehurst Place Atlanta,ATL,Atlanta,US,MICHELIN One Key Hotel,Luxury hotel,,
The Candler Hotel Atlanta,ATL,Atlanta,US,MICHELIN One Key Hotel,Luxury hotel,,
The Ritz-Carlton Atlanta,ATL,Atlanta,US,Ritz-Carlton,Luxury hotel,,
The Ritz-Carlton Reynolds Lake Oconee,ATL,Atlanta,US,Ritz-Carlton,Luxury hotel,,
The St. Regis Atlanta,ATL,Atlanta,US,St. Regis,Luxury hotel,,
Waldorf Astoria Atlanta Buckhead,ATL,Atlanta,US,,Luxury hotel,,
The Ritz-Carlton Aruba,AUA,,AW,Ritz-Carlton,Luxury hotel,,
Abu Dhabi GP,AUH,,QA,Formula One race held at the Yas Marina Circuit,Elite Destination,24.46722,54.60306
Saadiyat Island,AUH,Abu Dhabi,AE,,Elite residential,,
Four Seasons ABU DHABI,AUH,Abu Dhabi,AE,Four Seasons,Luxury hotel,,
Al Wathba,AUH,Abu Dhabi,AE,Luxury Collection Hotels,Luxury hotel,,
Mandarin Oriental Abu Dhabi,AUH,Abu Dhabi,AE,Mandarin Oriental,Luxury hotel,,
The Ritz-Carlton Abu Dhabi Grand Canal,AUH,Abu Dhabi,AE,Ritz-Carlton,Luxury hotel,,
Rosewood Abu Dhabi,AUH,Abu Dhabi,AE,Rosewood Hotel,Luxury hotel,,
The St. Regis Abu Dhabi,AUH,Abu Dhabi,AE,St. Regis,Luxury hotel,,
The St. Regis Saadiyat Island Resort,AUH,Abu Dhabi,AE,St. Regis,Luxury hotel,,
Shangri-La Hotel Qaryat Al Beri,AUH,Abu Dhabi,AE,,Luxury hotel,24.4539,54.3773
EDITION Abu Dhabi,AUH,Abu Dhabi,AE,,Luxury hotel,,
Conrad Abu Dhabi Etihad Towers,AUH,Abu Dhabi,AE,,Luxury hotel,,
Andaz Capital Gate Abu Dhabi,AUH,Abu Dhabi,AE,,Luxury hotel,,
United States GP,AUS,,US,Formula One race held at the Circuit of the Americas,Elite Destination,30.13278,-97.64111
Commodore Perry Estate,AUS,,US,Auberge Resorts,Luxury hotel,,
Four Seasons AUSTIN,AUS,,US,Four Seasons,Luxury hotel,,
JW Marriott Austin,AUS,,US,JW Marriott,Luxury hotel,,
Miraval Austin,AUS,,US,,Luxury hotel,,
Canyon Ranch Austin,AUS,,US,,Luxury hotel,,
"Airelles Gordes, La Bastide",AVN,,FR,,Luxury hotel,,
Catalina Island,AVX,,US,,Elite residential,,
Cap Juluca,AXA,,AI,,Elite residential,,
Four Seasons ANGUILLA,AXA,,AI,Four Seasons,Luxury hotel,,
Belmond Cap Juluca,AXA,The Valley,AI,,Luxury hotel,,
Zemi Beach House,AXA,,AI,,Luxury hotel,,
Uluru-Kata Tjuta National Park,AYQ,,AU,Witness the sacred monoliths with luxury lodges offering cultural experiences and desert sunsets.,Adventure Tourism,,
Lara,AYT,Antalya,TR,,Elite residential,,
Bahrain GP,BAH,,BH,Formula One race held at the Bahrain International Circuit,Elite Destination,26.0325,50.51056
Manama,BAH,,BH,,Elite residential,,
Four Seasons BAHRAIN BAY,BAH,,BH,Four Seasons,Luxury hotel,,
The Ritz-Carlton Bahrain,BAH,,BH,Ritz-Carlton,Luxury hotel,,
Conrad Bahrain Financial Harbour,BAH,Manama,BH,,Luxury hotel,,
Raffles Al Areen Palace Bahrain,BAH,Manama,BH,,Luxury hotel,,
Shangri-La Baotou,BAV,Baotou,CN,,Luxury hotel,40.6572,109.8392
Belmond Savute Elephant Lodge,BBK,Kasane,BW,,Luxury hotel,,
Belmond Khwai River Lodge,BBK,Kasane,BW,,Luxury hotel,,
Spanish GP,BCN,,ES,Formula One race held at the Circuit de Barcelona-Catalunya,Elite Destination,41.57,2.26111
Sant Gervasi,BCN,Barcelona,ES,,Elite residential,,
Barcelona EDITION,BCN,Barcelona,ES,EDITION,Luxury hotel,,
Mandarin Oriental Barcelona,BCN,Barcelona,ES,Mandarin Oriental,Luxury hotel,,
Hotel Arts Barcelona,BCN,Barcelona,ES,Ritz-Carlton,Luxury hotel,,
Soho House,BCN,Barcelona,ES,,Luxury hotel,,
El Palace Barcelona,BCN,,ES,,Luxury hotel,,
Spittal Pond,BDA,Bermuda,BM,,Elite residential,,
Tucker's Town,BDA,Bermuda,BM,,Elite residential,,
Whale Bay,BDA,Bermuda,BM,,Elite residential,,
Rosewood Bermuda,BDA,,BM,Rosewood Hotel,Luxury hotel,,
The St. Regis Bermuda Resort,BDA,,BM,St. Regis,Luxury hotel,,
Hamilton Princess & Beach Club,BDA,,BM,,Luxury hotel,,
Mayflower Inn & Spa,BDL,,US,Auberge Resorts,Luxury hotel,,
Miraval Berkshires Resort and Spa,BDL,,US,World of Hyatt,Luxury hotel,,
The Hotchkiss School,BDL,,US,,School,,
Masseria Torre Maizza,BDS,Brindisi,IT,Rocco Forte Hotel,Luxury hotel,40.65,17.9667
Grunewald,BER,,DE,,Elite residential,,
Mitte,BER,,DE,,Elite residential,,
JW Marriott Hotel Berlin,BER,,DE,JW Marriott,Luxury hotel,,
Berlin Radisson,BER,berlin,DE,Radisson Collection Hotel,Luxury hotel,52.5194969,13.4028912
The Ritz-Carlton Berlin,BER,,DE,Ritz-Carlton,Luxury hotel,,
Hotel de Rome,BER,Berlin,DE,Rocco Forte Hotel,Luxury hotel,52.51564869,13.39365219
Waldorf Astoria Berlin,BER,Berlin,DE,,Luxury hotel,,
Grand Hyatt Berlin,BER,,DE,,Luxury hotel,,
Achrafieh,BEY,,LB,,Elite residential,,
Four Seasons BEIRUT,BEY,,LB,Four Seasons,Luxury hotel,,
Sandy Lane,BGI,,BB,,Elite residential,,
Colony Club by Elegant Hotels,BGI,,BB,Luxury Collection Hotels,Luxury hotel,,
Fairmont Royal Pavilion,BGI,,BB,,Luxury hotel,,
Sandy Lane,BGI,,BB,,Luxury hotel,,
Old Mill Belgrade,BGO,Belgrade,RS,Radisson Collection Hotel,Luxury hotel,44.7972755,20.4475422
Palazzo Touring Club Milan,BGY,Milan,IT,Radisson Collection Hotel,Luxury hotel,45.4589958,9.187854
Meghauli Serai A Taj Safari,BHR,Bharatpur,IN,,Luxury hotel,27.6667,84.4333
Shangri-La Beihai,BHY,Beihai,CN,,Luxury hotel,21.4833,109.0833
Block Island,BID,,US,,Elite residential,,
Bimini,BIM,,BS,,Elite residential,,
Gran Via Bilbao,BIO,bilbao,ES,Radisson Collection Hotel,Luxury hotel,43.26178,2.927823
Hôtel du Palais Biarritz,BIQ,Biarritz,FR,,Luxury hotel,,
Bodrum,BJV,,TR,,Elite residential,,
Bodrum EDITION,BJV,,TR,EDITION,Luxury hotel,,
Caresse,BJV,,TR,Luxury Collection Hotels,Luxury hotel,,
Mandarin Oriental Bodrum,BJV,,TR,Mandarin Oriental,Luxury hotel,,
Bodrum Radisson,BJV,bodrum,TR,Radisson Collection Hotel,Luxury hotel,36.97847,27.3108921
Rosewood Bodrum,BJV,,TR,Rosewood Hotel,Luxury hotel,,
Six Senses TURKEY,BJV,,TR,Six Senses Resorts,Luxury hotel,,
Rosewood San Miguel de Allende,BJX,,MX,Rosewood Hotel,Luxury hotel,,
Casa de Sierra Nevada,BJX,,MX,,Luxury hotel,,
Waldorf Astoria San Miguel de Allende,BJX,Leon,MX,,Luxury hotel,,
Belmond Casa de Sierra Nevada,BJX,Leon,MX,,Luxury hotel,,
Atrio Restaurante Hotel,BJZ,Cáceres,ES,,Luxury hotel,,
Shangri-La’s Rasa Ria Resort & Spa,BKI,Kota Kinabalu,MY,,Luxury hotel,5.979,116.0733
Shangri-La’s Tanjung Aru Resort & Spa,BKI,Kota Kinabalu,MY,,Luxury hotel,5.979,116.0733
Andaz Hyatt Centric Kota Kinabalu,BKI,Kota Kinabalu,MY,,Luxury hotel,,
Nara Pranburi,BKK,Bangkok,TH,Secluded beachfront community with luxury villas,Elite residential,,
COMO Metropolitan Bangkok,BKK,Bangkok,TH,COMO,Luxury hotel,,
Four Seasons BANGKOK AT CHAO PHRAYA RIVER,BKK,Bangkok,TH,Four Seasons,Luxury hotel,,
JW Marriott Hotel Bangkok,BKK,Bangkok,TH,JW Marriott,Luxury hotel,,
Sheraton Grande Sukhumvit,BKK,Bangkok,TH,Luxury Collection Hotels,Luxury hotel,,
The Athenee Hotel,BKK,Bangkok,TH,Luxury Collection Hotels,Luxury hotel,,
Mandarin Oriental Bangkok,BKK,Bangkok,TH,Mandarin Oriental,Luxury hotel,,
Rosewood Bangkok,BKK,Bangkok,TH,Rosewood Hotel,Luxury hotel,,
The St. Regis Bangkok,BKK,Bangkok,TH,St. Regis,Luxury hotel,,
The Peninsula Bangkok,BKK,Bangkok,TH,The Peninsula,Luxury hotel,,
The Peninsula Bangkok,BKK,,TH,,Luxury hotel,,
Waldorf Astoria Bangkok,BKK,Bangkok,TH,,Luxury hotel,,
Conrad Bangkok,BKK,Bangkok,TH,,Luxury hotel,,
Park Hyatt Bangkok,BKK,,TH,,Luxury hotel,,
Banyan Tree Bangkok,BKK,Bangkok,TH,,Luxury hotel,,
Emilia Romagna GP,BLQ,,IT,Formula One race held at the Autodromo Internazionale Enzo e Dino Ferrari,Elite Destination,44.34111,11.71333
Casa Maria Luigia,BLQ,Bologna,IT,,Luxury hotel,,
Four Seasons BENGALURU AT EMBASSY ONE,BLR,,IN,Four Seasons,Luxury hotel,,
JW Marriott Bengaluru Prestige Golfshire Resort & Spa,BLR,,IN,JW Marriott,Luxury hotel,,
JW Marriott Hotel Bengaluru,BLR,,IN,JW Marriott,Luxury hotel,,
The Ritz-Carlton Bangalore,BLR,,IN,Ritz-Carlton,Luxury hotel,,
The Oberoi,BLR,,IN,The Oberoi,Luxury hotel,,
Shangri-La Hotel Bengaluru,BLR,Bengaluru,IN,,Luxury hotel,12.9716,77.5946
Conrad Bengaluru,BLR,Bengaluru,IN,,Luxury hotel,,
Four Seasons NASHVILLE,BNA,,US,Four Seasons,Luxury hotel,,
Holston House Nashville,BNA,,US,Hyatt Unbound,Luxury hotel,,
JW Marriott Nashville,BNA,,US,JW Marriott,Luxury hotel,,
Conrad Nashville,BNA,Nashville,US,,Luxury hotel,,
New Farm,BNE,Brisbane,AU,,Elite residential,,
Spicers Sangoma Retreat,BNE,Queensland,AU,Fashionable all-inclusive,Luxury hotel,,
Emporium Hotel South Bank,BNE,Brisbane,AU,,Luxury hotel,,
Bora Bora,BOB,,PF,,Adventure Tourism,,
Four Seasons BORA BORA,BOB,,PF,Four Seasons,Luxury hotel,,
The St. Regis Bora Bora Resort,BOB,,PF,St. Regis,Luxury hotel,,
Conrad Bora Bora Nui,BOB,Bora Bora,PF,,Luxury hotel,,
Bordeaux Vineyards,BOD,,FR,,Elite residential,,
COMO Le Montrachet,BOD,,FR,COMO,Luxury hotel,,
Les Sources de Caudalie,BOD,Bordeaux,FR,,Luxury hotel,,
Four Seasons BOGOTÁ,BOG,,CO,Four Seasons,Luxury hotel,,
Four Seasons BOGOTÁ (CASA MEDINA),BOG,,CO,Four Seasons,Luxury hotel,,
JW Marriott Hotel Bogota,BOG,,CO,JW Marriott,Luxury hotel,,
Four Seasons MUMBAI,BOM,Mumbai,IN,Four Seasons,Luxury hotel,,
JW Marriott Mumbai Juhu,BOM,Mumbai,IN,JW Marriott,Luxury hotel,,
JW Marriott Mumbai Sahar,BOM,Mumbai,IN,JW Marriott,Luxury hotel,,
The St. Regis Mumbai,BOM,Mumbai,IN,St. Regis,Luxury hotel,,
The Oberoi,BOM,Mumbai,IN,The Oberoi,Luxury hotel,,
Taj Mahal Palace Mumbai,BOM,Mumbai,IN,,Luxury hotel,18.922,72.8347
Taj Santacruz Mumbai,BOM,Mumbai,IN,,Luxury hotel,19.0828,72.8419
Back Bay,BOS,Boston,US,,Elite residential,,
Four Seasons BOSTON,BOS,Boston,US,Four Seasons,Luxury hotel,,
Four Seasons ONE DALTON STREET,BOS,Boston,US,Four Seasons,Luxury hotel,,
Mandarin Oriental Boston,BOS,Boston,US,Mandarin Oriental,Luxury hotel,,
The Ritz-Carlton Boston,BOS,Boston,US,Ritz-Carlton,Luxury hotel,,
Raffles Boston,BOS,Boston,US,,Luxury hotel,,
Fairmont Copley Plaza,BOS,Boston,US,,Luxury hotel,42.3541,-71.0633
Newbury Boston,BOS,,US,,Luxury hotel,,
Phillips Academy Andover,BOS,,US,,School,,
Phillips Exeter Academy,BOS,Exeter,US,,School,,
Harvard University,BOS,Boston,US,,University,,
Massachusetts Institute of Technology,BOS,Boston,US,,University,,
Shangri-La Qinhuangdao,BPE,Qinhuangdao,CN,,Luxury hotel,39.9342,119.6019
Trancoso,BPS,,BR,A chic beach destination in Bahia,Elite residential,,
Fasano Trancoso,BPS,,BR,,Luxury hotel,,
Smiths Beach Resort,BQB,,AU,,Luxury hotel,,
Bariloche,BRC,,AR,A picturesque city in the Argentine Andes,Elite residential,,
Borgo Egnazia,BRI,Bari,IT,,Luxury hotel,,
Masseria Torre Coccaro,BRI,Bari,IT,,Luxury hotel,,
Victoria-Jungfrau Grand Hotel & Spa,BRN,,CH,,Luxury hotel,,
Bellevue Palace,BRN,,CH,,Luxury hotel,,
Uccle,BRU,,BE,,Elite residential,,
Grand Place Brussels,BRU,Brussels,BE,Radisson Collection Hotel,Luxury hotel,50.8496437,4.356369
Hotel Amigo,BRU,Brussels,BE,Rocco Forte Hotel,Luxury hotel,50.8467,4.3528
Palacio do Planalto,BSB,,BR,,Elite Destination,,
The Art Basel Fair,BSL,,CH,Leading art fair held showcasing contemporary and modern artworks,Elite Destination,,
Grand Hotel Les Trois Rois,BSL,,CH,,Luxury hotel,,
Grand Hotel River Park,BTS,,SK,Luxury Collection Hotels,Luxury hotel,,
Bratislava Castle,BTS,,SK,,Luxury hotel,,
Hungarian GP,BUD,,HU,Formula One race held at the Hungaroring,Elite Destination,47.58222,19.25111
Four Seasons BUDAPEST,BUD,,HU,Four Seasons,Luxury hotel,,
Matild Palace,BUD,,HU,Luxury Collection Hotels,Luxury hotel,,
The Ritz-Carlton Budapest,BUD,,HU,Ritz-Carlton,Luxury hotel,,
Dorothea Hotel,BUD,,HU,,Luxury hotel,,
West Hollywood,BUR,Los Angeles,US,EDITION,Luxury hotel,,
Four Seasons BEVERLY WILSHIRE,BUR,Los Angeles,US,Four Seasons,Luxury hotel,,
Rosewood Beverly Hills,BUR,Los Angeles,US,Rosewood Hotel,Luxury hotel,,
The Peninsula Beverly Hills,BUR,Los Angeles,US,The Peninsula,Luxury hotel,,
Belize City,BZE,,BZ,,Elite residential,,
Bozeman,BZN,,US,,Elite residential,,
Montage Big Sky,BZN,,US,Montage,Luxury hotel,,
One&Only,BZN,,US,One&Only,Luxury hotel,,
Bolzano,BZO,,IT,,Elite residential,,
COMO Alpina Dolomites,BZO,,IT,COMO,Luxury hotel,,
Rosewood Alta Badia,BZO,,IT,Rosewood Hotel,Luxury hotel,,
Forestis Dolomites,BZO,Bolzano,IT,,Luxury hotel,,
Rosa Alpina,BZO,Bolzano,IT,,Luxury hotel,,
Sardinia,CAG,,IT,,Elite residential,,
Conrad Chia Laguna Sardinia,CAG,Cagliari,IT,,Luxury hotel,,
Villa del Parco & Spa,CAG,,IT,,Luxury hotel,,
Zamalek,CAI,,EG,,Elite residential,,
Four Seasons CAIRO AT NILE PLAZA,CAI,,EG,Four Seasons,Luxury hotel,,
Four Seasons CAIRO AT THE FIRST RESIDENCE,CAI,,EG,Four Seasons,Luxury hotel,,
JW Marriott Hotel Cairo,CAI,,EG,JW Marriott,Luxury hotel,,
The Nile Ritz-Carlton Cairo,CAI,,EG,Ritz-Carlton,Luxury hotel,,
The St. Regis Cairo,CAI,,EG,St. Regis,Luxury hotel,,
Waldorf Astoria Cairo Heliopolis,CAI,Cairo,EG,,Luxury hotel,,
Conrad Cairo,CAI,Cairo,EG,,Luxury hotel,,
Four Seasons GUANGZHOU,CAN,,CN,Four Seasons,Luxury hotel,,
Mandarin Oriental Guangzhou,CAN,,CN,Mandarin Oriental,Luxury hotel,,
The Ritz-Carlton Guangzhou,CAN,,CN,Ritz-Carlton,Luxury hotel,,
Rosewood Guangzhou,CAN,,CN,Rosewood Hotel,Luxury hotel,,
Shangri-La Guangzhou,CAN,Guangzhou,CN,,Luxury hotel,23.119444,113.324444
Shangri-La Guangzhou,CAN,Guangzhou,CN,,Luxury hotel,23.13,113.27
Conrad Guangzhou,CAN,Guangzhou,CN,,Luxury hotel,,
Park Hyatt Canberra,CBR,,AU,,Luxury hotel,,
JW Marriott Hotel Caracas,CCS,,VE,JW Marriott,Luxury hotel,,
JW Marriott Hotel Kolkata,CCU,,IN,JW Marriott,Luxury hotel,,
The Oberoi Grand,CCU,,IN,The Oberoi,Luxury hotel,,
Elysee Palace,CDG,Paris,FR,,Elite Destination,,
8th Arrondissement,CDG,Paris,FR,,Elite residential,,
Neuilly-sur-Seine,CDG,Paris,FR,,Elite residential,,
Saint-Germain-des-Prés,CDG,Paris,FR,,Elite residential,,
Bulgari Hotel Paris,CDG,Paris,FR,Bulgari Hotel,Luxury hotel,,
Hôtel de Berri Champs-Élysées,CDG,Paris,FR,Luxury Collection Hotels,Luxury hotel,,
Prince de Galles,CDG,Paris,FR,Luxury Collection Hotels,Luxury hotel,,
Shangri-La Hotel Paris,CDG,Paris,FR,,Luxury hotel,48.8566,2.3522
The Peninsula Paris,CDG,,FR,,Luxury hotel,,
Cheval Blanc Paris,CDG,,FR,,Luxury hotel,,
Waldorf Astoria Versailles - Trianon Palace,CDG,Paris,FR,,Luxury hotel,,
J.K. Place Paris,CDG,Paris,FR,,Luxury hotel,,
Hôtel du Louvre,CDG,Paris,FR,,Luxury hotel,,
Hyatt Paris Madeleine,CDG,Paris,FR,,Luxury hotel,,
Park Hyatt Paris-Vendôme,CDG,Paris,FR,,Luxury hotel,,
Le Royal Monceau Raffles Paris,CDG,Paris,FR,,Luxury hotel,,
"Airelles Chateau de Versailles, Le Grand Controle",CDG,,FR,,Luxury hotel,,
Shangri-La’s Mactan Resort & Spa,CEB,Cebu,PH,,Luxury hotel,10.3103,116.0733
Crimson Resort and Spa Mactan,CEB,,PH,,Luxury hotel,,
Four Seasons GOLDEN TRIANGLE,CEI,,TH,Four Seasons,Luxury hotel,,
Domes Miramare,CFU,,GR,Luxury Collection Hotels,Luxury hotel,,
Pondok Indah,CGK,,ID,,Elite residential,,
Four Seasons JAKARTA,CGK,,ID,Four Seasons,Luxury hotel,,
JW Marriott Hotel Jakarta,CGK,,ID,JW Marriott,Luxury hotel,,
Mandarin Oriental Jakarta,CGK,,ID,Mandarin Oriental,Luxury hotel,,
The Ritz-Carlton Jakarta,CGK,,ID,Ritz-Carlton,Luxury hotel,,
The St. Regis Jakarta,CGK,,ID,St. Regis,Luxury hotel,,
Shangri-La Hotel Jakarta,CGK,Jakarta,ID,,Luxury hotel,-6.1256,106.865
Waldorf Astoria Jakarta,CGK,Jakarta,ID,,Luxury hotel,,
Park Hyatt Jakarta,CGK,Jakarta,ID,,Luxury hotel,,
Alila SCBD Jakarta,CGK,Jakarta,ID,,Luxury hotel,,
Raffles Jakarta,CGK,Jakarta,ID,,Luxury hotel,,
JW Marriott Hotel Zhengzhou,CGO,,CN,JW Marriott,Luxury hotel,,
Shangri-La Zhengzhou,CGO,Zhengzhou,CN,,Luxury hotel,34.755556,113.622222
Shangri-La Changchun,CGQ,Changchun,CN,,Luxury hotel,43.88,125.32
Hapuku Lodge + Tree Houses,CHC,Canterbury,NZ,Polished rural hotel offering mountain and ocean views,Luxury hotel,,
The Hermitage Hotel,CHC,Canterbury,NZ,,Luxury hotel,,
Domes Zeen Chania,CHQ,,GR,Luxury Collection Hotels,Luxury hotel,,
The Dunlin,CHS,,US,Auberge Resorts,Luxury hotel,,
Roma Antica,CIA,Rome,IT,Radisson Collection Hotel,Luxury hotel,41.89491,12.4784355
Locanda Rossa,CIA,Rome,IT,,Luxury hotel,,
Mandarin Oriental Canouan (Canouan,CIW,,VC,Mandarin Oriental,Luxury hotel,,
Taj Madikeri Resort & Spa Coorg,CJB,Coimbatore,IN,,Luxury hotel,12.4259,75.7439
Atacama Desert,CJC,,CL,,Adventure Tourism,,
Cheju City,CJU,Jeju,KR,,Elite residential,,
Jeju Island,CJU,,KR,,Luxury hotel,,
JW Marriott Jeju Resort & Spa,CJU,,KR,JW Marriott,Luxury hotel,,
The Ritz-Carlton Cleveland,CLE,,US,Ritz-Carlton,Luxury hotel,,
JW Marriott Charlotte,CLT,,US,JW Marriott,Luxury hotel,,
The Ritz-Carlton Charlotte,CLT,,US,Ritz-Carlton,Luxury hotel,,
Ceylon Tea Trails,CMB,,LK,,Adventure Tourism,,
Rosewood Galle,CMB,,LK,Rosewood Hotel,Luxury hotel,,
Shangri-La Hotel Colombo,CMB,Colombo,LK,,Luxury hotel,6.9271,79.8612
Taj Bentota Resort & Spa,CMB,Colombo,LK,,Luxury hotel,,
Courchevel,CMF,,FR,,Ski Resort,,
Courchevel,CMF,,FR,,Ski Resort,,
University of Illinois at Urbana-Champaign,CMI,,US,,University,,
Four Seasons CASABLANCA,CMN,,MA,Four Seasons,Luxury hotel,,
Fasano Belo Horizonte,CNF,,BR,,Luxury hotel,,
Great Barrier Reef,CNS,,AU,,Adventure Tourism,,
Gilligan's Bar,CNS,Queensland,AU,Dynamic hostel with 2 bars and attached nightclubs,Luxury hotel,,
Lizard Island,CNS,Queensland,AU,Upmarket nature retreat,Luxury hotel,,
Shangri-La Hotel The Marina,CNS,Carnis,AU,,Luxury hotel,-16.9214,145.7728
Reef House,CNS,,AU,,Luxury hotel,,
Four Seasons CHIANG MAI,CNX,,TH,Four Seasons,Luxury hotel,,
Kerala Backwaters,COK,,IN,Cruise through serene backwaters on luxurious houseboats,Adventure Tourism,,
Kochi Marriot Hotel,COK,,IN,,Luxury hotel,,
Grand Hyatt Kochi Bolgatty,COK,,IN,,Luxury hotel,,
Crowne Plaza Kochi,COK,,IN,,Luxury hotel,,
Nyhavn,CPH,,DK,,Elite residential,,
Royal Copenhagen,CPH,Copenhagen,DK,Radisson Collection Hotel,Luxury hotel,55.67492,12.5638132
Hotel d'Angleterre,CPH,,DK,,Luxury hotel,,
Nobis Hotel Copenhagen,CPH,,DK,,Luxury hotel,,
